arm,framework,variant,endpoint,concurrency,rep,io_ms,rps_mean,rps_stddev,total_requests,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,lat_max_ms,non2xx,errors,timeouts,throughput_mb,cpu_samples,cpu_mean_pct,cpu_max_pct,mem_mean_mb,mem_max_mb,loop_p99_ms,loop_max_ms,rss_final_mb,link_util_pct,link_speed_mbps
fastify-plain,fastify,plain,get,500,2,0,102160,1138.99,6129564,4.15,4,6,10,914,0,0,0,41.99010416984558,120,100.06966666666666,102.28,39.32483333333333,39.97,17.088511,22.298623,83.5546875,0,0
fastify-plain,fastify,plain,get,500,3,0,102789.34,1596.04,6167221,4.14,4,5,10,981,0,0,0,42.24947916984558,120,100.04566666666666,102.24,41.2685,41.97,18.415615,19.578879,84.29296875,0,0
fastify-plain,fastify,plain,get,500,4,0,104113.07,1505.79,6246661,4.14,4,6,10,707,0,0,0,42.79114583969116,120,100.03883333333333,102.31,40.100833333333334,40.73,18.284543,29.376511,83.84765625,0,0
fastify-plain,fastify,plain,get,500,5,0,102990.94,1034.67,6179498,4.14,4,5,10,1176,0,0,0,42.334375,120,100.20333333333333,102.42,39.81783333333333,40.82,18.497535,20.922367,83.625,0,0
fastify-plain,fastify,plain,post,100,1,0,51420.27,640.14,3085155,1.34,1,5,5,147,0,0,0,22.31276041984558,120,99.36566666666667,101.46,38.9435,39.41,14.581759,15.876095,84.8046875,0,0
fastify-plain,fastify,plain,post,100,2,0,51859.74,682.82,3111592,1.33,1,5,5,175,0,0,0,22.502604169845583,120,99.4005,101.48,38.0615,38.96,14.344191,16.941055,84.4296875,0,0
fastify-plain,fastify,plain,post,100,3,0,52285.87,729.89,3137060,1.33,1,5,5,127,0,0,0,22.68854166984558,120,99.45766666666667,101.61,39.524166666666666,39.94,14.376959,22.691839,84.7578125,0,0
fastify-plain,fastify,plain,post,100,4,0,52355.2,726.65,3141354,1.34,1,5,5,67,0,0,0,22.718229169845582,120,99.58866666666667,101.64,38.58883333333333,38.96,14.295039,16.924671,84.18359375,0,0
fastify-plain,fastify,plain,post,100,5,0,51803.2,600.06,3108207,1.34,1,5,5,122,0,0,0,22.47838541984558,120,99.368,101.46,37.696,38.09,14.434303,18.448383,84.55859375,0,0
fastify-plain,fastify,plain,post,10,1,0,54916.27,562.24,3294964,0.02,0,0,0,7,0,0,0,23.82916666984558,120,99.64766666666667,101.69,31.709333333333333,31.88,12.787711,14.417919,81.1484375,0,0
fastify-plain,fastify,plain,post,10,2,0,55312,653.86,3318731,0.02,0,0,0,9,0,0,0,24.00208333969116,120,99.68283333333333,101.67,32.958666666666666,33.57,12.894207,16.293887,81.08203125,0,0
fastify-plain,fastify,plain,post,10,3,0,55315.2,606.06,3318988,0.02,0,0,0,11,0,0,0,24.00390625,120,99.66616666666667,101.79,32.18633333333333,32.47,12.967935,14.237695,81.078125,0,0
fastify-plain,fastify,plain,post,10,4,0,55002.67,542.99,3300253,0.02,0,0,0,10,0,0,0,23.86744791984558,120,99.664,101.73,32.068666666666665,32.38,12.902399,19.578879,80.953125,0,0
fastify-plain,fastify,plain,post,10,5,0,54654.4,473.36,3279174,0.02,0,0,0,9,0,0,0,23.71510416984558,120,99.638,101.82,32.8035,33.24,12.787711,13.754367,81.24609375,0,0
fastify-plain,fastify,plain,post,500,1,0,49062.4,1189.9,2943780,9.78,8,15,15,525,0,0,0,21.2890625,120,99.30633333333333,101.49,49.82366666666667,50.64,16.859135,33.439743,92.1953125,0,0
fastify-plain,fastify,plain,post,500,2,0,48766.4,983.37,2925877,9.85,8,15,16,2027,0,0,0,21.1609375,120,99.19316666666667,101.37,49.597,50.12,24.707071,26.509311,91.80859375,0,0
fastify-plain,fastify,plain,post,500,3,0,46409.07,588.12,2784382,10.33,8,16,17,1633,0,0,0,20.13567708969116,120,99.3175,101.66,50.43366666666667,52.79,22.282239,26.607615,95.91015625,0,0
fastify-plain,fastify,plain,post,500,4,0,48454.4,730.5,2907252,9.88,8,15,16,2122,0,0,0,21.025,120,100.096,101.75,47.62591666666667,48.14,24.641535,25.870335,91.41796875,0,0
fastify-plain,fastify,plain,post,500,5,0,45565.87,548.73,2733878,10.51,9,16,17,1534,0,0,0,19.77109375,120,99.27316666666667,101.62,49.96633333333333,52.49,22.478847,24.018943,95.2734375,0,0
fastify-schema,fastify,schema,get,100,1,0,105003.74,1713.38,6299942,0.05,0,1,1,61,0,0,0,43.159375,120,100.67333333333333,102.98,36.661833333333334,37.55,10.731519,16.736255,81.8125,0,0
fastify-schema,fastify,schema,get,100,2,0,105620.27,737.76,6337405,0.04,0,1,1,45,0,0,0,43.4171875,120,100.36716666666666,102.6,36.455666666666666,37.12,10.567679,13.975551,81.67578125,0,0
fastify-schema,fastify,schema,get,100,3,0,105437.87,767.02,6326484,0.05,0,1,1,56,0,0,0,43.3390625,120,101.26641666666667,102.68,35.58875,36.41,10.616831,13.885439,81.57421875,0,0
fastify-schema,fastify,schema,get,100,4,0,105120,1746.67,6306963,0.07,0,1,1,71,0,0,0,43.20729166984558,120,100.33516666666667,102.5,36.249833333333335,37.49,10.739711,17.842175,81.96484375,0,0
fastify-schema,fastify,schema,get,100,5,0,106611.2,999.67,6396603,0.03,0,0,1,70,0,0,0,43.81979166984558,120,101.18541666666667,102.58,35.71958333333333,36.79,10.477567,15.155199,81.7890625,0,0
fastify-schema,fastify,schema,get,10,1,0,110867.2,592.92,6652360,0.01,0,0,0,10,0,0,0,45.57083333969116,120,101.47291666666666,102.89,25.373083333333334,25.89,10.067967,11.608063,75.140625,0,0
fastify-schema,fastify,schema,get,10,2,0,110011.74,1150.66,6600675,0.01,0,0,0,14,0,0,0,45.217708339691164,120,100.8635,103.11,25.4055,25.87,10.067967,15.892479,74.91015625,0,0
fastify-schema,fastify,schema,get,10,3,0,111097.6,283.15,6665748,0.01,0,0,0,9,0,0,0,45.6640625,120,100.75016666666667,102.92,25.996,26.32,10.076159,14.835711,75.02734375,0,0
fastify-schema,fastify,schema,get,10,4,0,110876.8,397.7,6652470,0.01,0,0,0,8,0,0,0,45.57291666984558,120,100.815,103.08,25.002666666666666,25.78,10.092543,15.515647,75.3359375,0,0
fastify-schema,fastify,schema,get,10,5,0,110872.54,570.66,6652247,0.01,0,0,0,6,0,0,0,45.56979166984558,120,100.81333333333333,103.0,26.016166666666667,26.34,10.076159,14.614527,74.9609375,0,0
fastify-schema,fastify,schema,get,500,1,0,100062.94,989.11,6003753,4.19,4,5,11,746,0,0,0,41.130208339691166,120,100.01616666666666,102.14,39.97566666666667,40.56,18.120703,23.822335,83.9765625,0,0
fastify-schema,fastify,schema,get,500,2,0,98264.54,885.05,5895796,4.39,4,7,11,1103,0,0,0,40.390625,120,100.04033333333334,102.18,39.6495,40.63,17.874943,22.806527,83.6640625,0,0
fastify-schema,fastify,schema,get,500,3,0,98992,1064.13,5939538,4.3,4,5,11,1093,0,0,0,40.68802083969116,120,100.2305,102.44,39.529,40.3,19.595263,20.299775,84.06640625,0,0
fastify-schema,fastify,schema,get,500,4,0,97854.94,1993.77,5871303,4.6,4,7,11,920,0,0,0,40.22135416984558,120,100.775,102.42,39.90375,40.81,17.743871,23.068671,83.90625,0,0
fastify-schema,fastify,schema,get,500,5,0,100392.54,1291.5,6023492,4.19,4,6,11,316,0,0,0,41.26510416984558,120,100.2525,102.62,41.2775,42.02,17.252351,22.757375,84.125,0,0
fastify-schema,fastify,schema,post,100,1,0,47780.8,728.78,2866817,1.38,1,5,5,185,0,0,0,20.73333333969116,120,99.36816666666667,101.46,41.107166666666664,41.98,14.188543,15.843327,87.296875,0,0
fastify-schema,fastify,schema,post,100,2,0,48085.34,770.45,2885115,1.38,1,5,6,163,0,0,0,20.86484375,120,99.42933333333333,101.52,38.934666666666665,39.63,14.180351,22.609919,85.05859375,0,0
fastify-schema,fastify,schema,post,100,3,0,47920.54,589.09,2875135,1.39,1,5,6,161,0,0,0,20.79296875,120,99.345,101.41,38.050666666666665,39.19,14.278655,17.956863,85.359375,0,0
fastify-schema,fastify,schema,post,100,4,0,47727.47,782.24,2863642,1.4,1,5,6,160,0,0,0,20.709375,120,99.3615,101.47,38.790166666666664,41.33,14.295039,15.654911,85.2890625,0,0
fastify-schema,fastify,schema,post,100,5,0,47317.34,670.43,2839066,1.39,1,5,6,181,0,0,0,20.5328125,120,100.103,101.44,40.52283333333333,41.43,14.344191,16.187391,85.953125,0,0
fastify-schema,fastify,schema,post,10,1,0,50821.34,664.46,3049313,0.02,0,0,0,8,0,0,0,22.05260416984558,120,99.59266666666667,101.72,32.72383333333333,33.07,12.828671,14.950399,82.44921875,0,0
fastify-schema,fastify,schema,post,10,2,0,50995.2,651.18,3059660,0.02,0,0,0,13,0,0,0,22.12708333969116,120,99.61166666666666,101.67,33.808,34.19,12.738559,20.676607,82.98046875,0,0
fastify-schema,fastify,schema,post,10,3,0,51281.6,599.74,3076916,0.02,0,0,0,9,0,0,0,22.253125,120,99.584,101.7,33.28816666666667,33.81,12.460031,15.769599,82.6875,0,0
fastify-schema,fastify,schema,post,10,4,0,50187.74,1498.8,3011122,0.02,0,0,0,10,0,0,0,21.776041669845583,120,99.653,101.86,33.66383333333333,34.13,12.910591,16.105471,82.6171875,0,0
fastify-schema,fastify,schema,post,10,5,0,50442.14,604.08,3026522,0.02,0,0,0,10,0,0,0,21.888020839691162,120,99.6315,101.75,32.55733333333333,32.86,13.049855,16.392191,82.375,0,0
fastify-schema,fastify,schema,post,500,1,0,44096.54,565.58,2645649,10.77,9,17,17,2421,0,0,0,19.13359375,120,99.2445,101.43,50.79533333333333,51.64,23.101439,24.526847,93.5390625,0,0
fastify-schema,fastify,schema,post,500,2,0,44897.6,874.44,2693744,10.55,9,17,17,2191,0,0,0,19.480989589691163,120,99.29016666666666,101.43,53.06483333333333,53.93,21.708799,27.410431,96.36328125,0,0
fastify-schema,fastify,schema,post,500,3,0,44505.6,810.12,2670302,10.67,9,17,17,1917,0,0,0,19.311979169845582,120,99.30333333333333,101.45,53.404,54.19,27.590655,28.573695,95.984375,0,0
fastify-schema,fastify,schema,post,500,4,0,43943.47,477.36,2636586,10.82,9,17,18,2005,0,0,0,19.067708339691162,120,99.25516666666667,101.35,52.04633333333333,52.59,23.216127,36.503551,94.73046875,0,0
fastify-schema,fastify,schema,post,500,5,0,45106.67,827.75,2706403,10.51,9,17,17,1838,0,0,0,19.572916669845583,120,100.00666666666666,101.35,49.7345,50.18,25.870335,31.260671,93.77734375,0,0
